Hearing Date,Hearing Time,Scheduled Hearing Location,Ticket Number,Respondent Last Name,Balance Due,Charge #1: Code Section,Hearing Status,Hearing Result,Violation Date,Violation Time,Issuing Agency,Respondent First Name,Violation Location (Borough),Violation Location (Block No.),Violation Location (Lot No.),Violation Location (House #),Violation Location (Street Name),Violation Location (Floor),Violation Location (City),Violation Location (Zip Code),Violation Location (State Name),Respondent Address (Borough),Respondent Address (House #),Respondent Address (Street Name),Respondent Address (City),Respondent Address (Zip Code),Respondent Address (State Name),Decision Location (Borough),Decision Date,Total Violation Amount,Violation Details,Date Judgment Docketed,Respondent Address or Facility Number(For FDNY and DOB Tickets),Penalty Imposed,Paid Amount,Additional Penalties or Late Fees,Compliance Status,Violation Description,Charge #1: Code,Charge #1: Code Description,Charge #1: Infraction Amount,Charge #2: Code,Charge #2: Code Section,Charge #2: Code Description,Charge #2: Infraction Amount,Charge #3: Code,Charge #3: Code Section,Charge #3: Code Description,Charge #3: Infraction Amount,Charge #4: Code,Charge #4: Code Section,Charge #4: Code Description,Charge #4: Infraction Amount,Charge #5: Code,Charge #5: Code Section,Charge #5: Code Description,Charge #5: Infraction Amount,Charge #6: Code,Charge #6: Code Section,Charge #6: Code Description,Charge #6: Infraction Amount,Charge #7: Code,Charge #7: Code Section,Charge #7: Code Description,Charge #7: Infraction Amount,Charge #8: Code,Charge #8: Code Section,Charge #8: Code Description,Charge #8: Infraction Amount,Charge #9: Code,Charge #9: Code Section,Charge #9: Code Description,Charge #9: Infraction Amount,Charge #10: Code,Charge #10: Code Section,Charge #10: Code Description,Charge #10: Infraction Amount
02/15/2017,10:30:00,BROOKLYN,0193640949,KINGSBROOK JEWISH MEDICAL CENT,$530.00,,DEFAULTED,DEFAULTED,08/02/2016,09:00:00,COOLING TOWERS - DOHMH,,BROOKLYN,,,585,SCHENECTADY AVENUE,,BROOKLYN,11203,NEW YORK,BROOKLYN,585,SCHENECTADY AVENUE,BROOKLYN,11203,NEW YORK,,02/22/2017,$500.00,20170215,,,$530.00,$0.00,$0.00,Penalty Due,,,,$0.00,AH8D,24RCNY8-04 B,"COMPL INSPEC NOT CONDUCT,DOC'D ONCE EVERY 90 DAYS WHEN TOWER IN USE1ST",$500.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/06/2017,08:30:00,MANHATTAN,0193648887,HOLY SPIRIT ASSOICATION,$0.00,24RCNY8-04 A,PAID IN FULL,,10/07/2016,10:29:00,COOLING TOWERS - DOHMH,,MANHATTAN,00758,0037,481,8 AVENUE,,NEW YORK,10001,NEW YORK,MANHATTAN,4,WEST 43 STREET,NEW YORK,10036,NEW YORK,,,$500.00,20170306N,,,$500.00,$500.00,$0.00,All Terms Met,,AH8C,"ROUTINE MONIT NOT CONDUCT,DOC'D AT LEAST ONCE WEEK WHEN TOWER IN USE 1",$500.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/06/2017,08:30:00,MANHATTAN,0193649060,EROS MANAGEMENT REALTY LLC,$500.00,24RCNY8-04 A,HEARING COMPLETED,IN VIOLATION,10/07/2016,10:15:00,COOLING TOWERS - DOHMH,,MANHATTAN,00759,0014,345,WEST 35 STREET,,NEW YORK,10001,NEW YORK,MANHATTAN,345,WEST 35 STREET,NEW YORK,10001,NEW YORK,MANHATTAN,03/13/2017,$500.00,20170306N,,,$500.00,$0.00,$0.00,Penalty Due,,AH8C,"ROUTINE MONIT NOT CONDUCT,DOC'D AT LEAST ONCE WEEK WHEN TOWER IN USE 1",$500.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/23/2017,08:30:00,QUEENS,0193659896,BEIGE FAMILY REALTY LLC,$0.00,NYCHC 3.05,PAID IN FULL,,01/17/2017,09:00:00,COOLING TOWERS - DOHMH,,QUEENS,09299,0076,109-08,JAMAICA AVENUE,,RICHMOND HILL,11418,NEW YORK,NOT NYC,601,CANTIAGUE ROCK ROAD,WESTBURY,11590,NEW YORK,,,$1000.00,20170323N,,,$1000.00,$1000.00,$0.00,All Terms Met,,AH3K,"FAILING TO COMPLY WITH DEPT, BOARD OF HEALTH, OR COMMISSIONER'S ORDER",$1000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/23/2016,08:30:00,BRONX,0880717999,ST ANSELMS CHURCH,$0.00,NYCHC 3.05,HEARING COMPLETED,DISMISSED,10/21/2015,16:35:00,COOLING TOWERS - DOHMH,,BRONX,02654,0001,683,TINTON AVENUE,,BRONX,10455,NEW YORK,BRONX,685,TINTON AVENUE,BRONX,10455,NEW YORK,BRONX,02/23/2016,$1000.00,20151208Y,,,$0.00,$0.00,$0.00,All Terms Met,,AH3K,"FAILING TO COMPLY WITH DEPT, BOARD OF HEALTH, OR COMMISSIONER'S ORDER",$1000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/23/2017,08:30:00,QUEENS,0193648786,CONTINENTAL OWNERS CORP,$500.00,24RCNY8-04 B,HEARING COMPLETED,IN VIOLATION,10/06/2016,11:43:00,COOLING TOWERS - DOHMH,,QUEENS,02215,0001,70-20,108 STREET,,FOREST HILLS,11375,NEW YORK,MANHATTAN,675,3 AVENUE,NEW YORK,10017,NEW YORK,QUEENS,03/02/2017,$500.00,20170223N,,,$500.00,$0.00,$0.00,Penalty Due,,AH8D,"COMPL INSPEC NOT CONDUCT,DOC'D ONCE EVERY 90 DAYS WHEN TOWER IN USE1ST",$500.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/06/2017,08:30:00,MANHATTAN,0193648896,SLG 315 WEST LLC,$0.00,24RCNY8-04 A,PAID IN FULL,,10/05/2016,14:56:00,COOLING TOWERS - DOHMH,,MANHATTAN,00757,0022,315,WEST 33 STREET,,NEW YORK,10001,NEW YORK,MANHATTAN,420,LEXINGTON AVENUE,NEW YORK,10170,NEW YORK,,,$500.00,20170306N,,,$500.00,$500.00,$0.00,All Terms Met,,AH8C,"ROUTINE MONIT NOT CONDUCT,DOC'D AT LEAST ONCE WEEK WHEN TOWER IN USE 1",$500.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/25/2015,08:30:00,MANHATTAN,0880709610,257 WATER STREET LLC,$2000.00,NYCHC 3.05,DEFAULTED,DEFAULTED,10/13/2015,16:03:00,COOLING TOWERS - DOHMH,,MANHATTAN,00107,0042,23,PECK SLIP,,NEW YORK,10038,NEW YORK,MANHATTAN,381,PARK AVENUE SOUTH,NEW YORK,10016,NEW YORK,,11/30/2015,$1000.00,20151125Y,01/29/2016,,$2000.00,$0.00,$0.00,Penalty Due,,AH3K,"FAILING TO COMPLY WITH DEPT, BOARD OF HEALTH, OR COMMISSIONER'S ORDER",$1000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/23/2015,10:30:00,MANHATTAN,0880717238,MADISON REAL ESTATE ASSOCIATES,$2000.00,NYCHC 3.05,DEFAULTED,DEFAULTED,10/21/2015,16:35:00,COOLING TOWERS - DOHMH,,MANHATTAN,00858,0017,86,MADISON AVENUE,,NEW YORK,10016,NEW YORK,MANHATTAN,86,MADISON AVENUE,NEW YORK,10016,NEW YORK,,11/30/2015,$1000.00,20151123N,01/29/2016,,$2000.00,$0.00,$0.00,Penalty Due,,AH3K,"FAILING TO COMPLY WITH DEPT, BOARD OF HEALTH, OR COMMISSIONER'S ORDER",$1000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/23/2015,10:30:00,MANHATTAN,0880717247,MADISON REAL ESTATE ASSOCIATES,$2000.00,NYCHC 3.05,DEFAULTED,DEFAULTED,10/21/2015,16:35:00,COOLING TOWERS - DOHMH,,MANHATTAN,00858,0017,86,MADISON AVENUE,,NEW YORK,10016,NEW YORK,MANHATTAN,86,MADISON AVENUE,NEW YORK,10016,NEW YORK,,11/30/2015,$1000.00,20151123N,01/29/2016,,$2000.00,$0.00,$0.00,Penalty Due,,AH3K,"FAILING TO COMPLY WITH DEPT, BOARD OF HEALTH, OR COMMISSIONER'S ORDER",$1000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
