Ticket Number,Violation Date,Violation Time,Issuing Agency,Respondent Last Name,Respondent First Name,Balance Due,Violation Location (Borough),Violation Location (Block No.),Violation Location (Lot No.),Violation Location (House #),Violation Location (Street Name),Violation Location (Floor),Violation Location (City),Violation Location (Zip Code),Violation Location (State Name),Respondent Address (Borough),Respondent Address (House #),Respondent Address (Street Name),Respondent Address (City),Respondent Address (Zip Code),Respondent Address (State Name),Hearing Status,Hearing Result,Scheduled Hearing Location,Hearing Date,Hearing Time,Decision Location (Borough),Decision Date,Total Violation Amount,Violation Details,Date Judgment Docketed,Respondent Address or Facility Number(For FDNY and DOB Tickets),Penalty Imposed,Paid Amount,Additional Penalties or Late Fees,Compliance Status,Violation Description,Charge #1: Code,Charge #1: Code Section,Charge #1: Code Description,Charge #1: Infraction Amount,Charge #2: Code,Charge #2: Code Section,Charge #2: Code Description,Charge #2: Infraction Amount,Charge #3: Code,Charge #3: Code Section,Charge #3: Code Description,Charge #3: Infraction Amount,Charge #4: Code,Charge #4: Code Section,Charge #4: Code Description,Charge #4: Infraction Amount,Charge #5: Code,Charge #5: Code Section,Charge #5: Code Description,Charge #5: Infraction Amount,Charge #6: Code,Charge #6: Code Section,Charge #6: Code Description,Charge #6: Infraction Amount,Charge #7: Code,Charge #7: Code Section,Charge #7: Code Description,Charge #7: Infraction Amount,Charge #8: Code,Charge #8: Code Section,Charge #8: Code Description,Charge #8: Infraction Amount,Charge #9: Code,Charge #9: Code Section,Charge #9: Code Description,Charge #9: Infraction Amount,Charge #10: Code,Charge #10: Code Section,Charge #10: Code Description,Charge #10: Infraction Amount
070001758P,04/12/2006,,LANDMARKS PRESERVATION,"THOMAS CARPENTER, ASST.","DIR. ENG., ABC TV",,MANHATTAN,01118,00052,50,WEST   66 STREET,,NEW YORK,10023,NY,MANHATTAN,77,WEST   66 STREET,NEW YORK,10023,NY,PAID IN FULL,IN VIOLATION,MANHATTAN,06/05/2006,9:30:00,MANHATTAN,06/14/2006,$500.00,INSTALL HVAC COOLING TOWERS,08/14/2006,,$500.00,$500.00,,,,BL51,25.305.,WORK W/O OR VIOL.OF CERT.OF APPROP/NO EFFECT-ALT EXT ARCHIT FEAT.TYPEA,$500.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000217L,09/21/2015,08:50:00,DEPT. OF BUILDINGS,"VW CREDIT,INC",,$0.00,MANHATTAN,01084,0001,550,WEST 56 STREET,,MANHATTAN,10019,NEW YORK,NOT NYC,3800,HAMLIN ROAD,AUBURN HILLS,48326,MICHIGAN,HEARING COMPLETED,IN VIOLATION,MANHATTAN,11/12/2015,10:30:00,MANHATTAN,10/22/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER.REM:COMPLY W CODE.,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000485H,09/21/2015,05:00:00,DEPT. OF BUILDINGS,FEDERATED DEPT STORES INC.,,$4000.00,STATEN IS,02400,0118,112,RICHMOND HILL ROAD,,SI,10314,NEW YORK,NOT NYC,7,W 7 ST,CINCINNATI,45202,OHIO,DOCKETED,DEFAULTED,STATEN IS,11/18/2015,10:30:00,,11/23/2015,$800.00,SEC. 287-317.3 FAILURE TO REGISTER COOLING TOWER. REMEDY: COMPLY W CODE.,02/29/2016,,$4000.00,$0.00,$0.00,Both Due,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000190K,09/21/2015,12:38:00,DEPT. OF BUILDINGS,ABACUS FEDERAL SV BK,,$0.00,MANHATTAN,00092,0024,110,NASSAU STREET,,NY,10038,NEW YORK,MANHATTAN,104,NASSAU STREET,NY,10038,NEW YORK,HEARING COMPLETED,IN VIOLATION,MANHATTAN,11/12/2015,10:30:00,MANHATTAN,10/13/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER. RMDY: COMPLY W CODE.,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000195J,09/21/2015,05:15:00,DEPT. OF BUILDINGS,SLOANE BROADWAY LLC,,$0.00,MANHATTAN,00483,0007,502,BROADWAY,,NY,10012,NEW YORK,NOT NYC,7,WEST SEVENTH ST,CINCINNATI,45303,OHIO,HEARING COMPLETED,IN VIOLATION,MANHATTAN,11/12/2015,10:30:00,MANHATTAN,10/02/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER. RMDY: COMPLY W CODE.,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000256Y,09/21/2015,12:55:00,DEPT. OF BUILDINGS,77 BLEECKER ST CORP,,$0.00,MANHATTAN,00532,0020,77,BLEECKER STREET,,NY,10012,NEW YORK,MANHATTAN,440,9 AVENUE,NY,10001,NEW YORK,HEARING COMPLETED,IN VIOLATION,MANHATTAN,11/12/2015,10:30:00,MANHATTAN,10/07/2015,$800.00,SEC. 287-317.3 FAILURE TO REGISTER COOLING TOWER. REMEDY: COMPLY W CODE.,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000189N,09/21/2015,01:10:00,DEPT. OF BUILDINGS,"ARC NYC 123WILLIAM,LLC",,$4000.00,MANHATTAN,00078,0004,123,WILLIAM STREET,,NY,10038,NEW YORK,MANHATTAN,405,PARK AVENUE,NY,10022,NEW YORK,DOCKETED,DEFAULTED,MANHATTAN,11/12/2015,10:30:00,,11/17/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER. RMDY: COMPLY W CODE.,02/29/2016,,$4000.00,$0.00,$0.00,Penalty Due,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000243P,09/21/2015,05:40:00,DEPT. OF BUILDINGS,GUNTHER BLDG 1873 CO,,$0.00,MANHATTAN,00475,0046,55,GREENE STREET,,NY,10013,NEW YORK,MANHATTAN,236,WEST 26 STREET,NY,10001,NEW YORK,HEARING COMPLETED,DISMISSED,MANHATTAN,10/30/2015,10:30:00,MANHATTAN,10/30/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER. RMDY: COMPLY W CODE.,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000198P,09/21/2015,03:40:00,DEPT. OF BUILDINGS,NEW YORK UNIVERSITY,,$0.00,MANHATTAN,00548,0004,255,GREENE STREET,,NY,10003,NEW YORK,MANHATTAN,70,WASHINGTON SQUARE SOUTH,NY,10012,NEW YORK,HEARING COMPLETED,IN VIOLATION,MANHATTAN,11/12/2015,10:30:00,MANHATTAN,11/05/2015,$800.00,SEC. 28-317.3 FAILURE TO REGISTER COOLING TOWER. REMEDY: COMPLY W CODE,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000241L,09/21/2015,00:00:00,DEPT. OF BUILDINGS,MF ASSOCIATES OF NEW YORK LLC,,$0.00,MANHATTAN,01541,0021,1849,2 AVENUE,,NY,10128,NEW YORK,MANHATTAN,545,MADISON AVENUE,NY,10022,NEW YORK,HEARING COMPLETED,DISMISSED,MANHATTAN,02/11/2016,09:00:00,MANHATTAN,02/23/2016,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER. RMDY: COMPLY W CODE.,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
